Id,pricingInfos.price,pricingInfos.rentalTotalPrice
cb571ac25e,224802.5,1295.78
2a666915d8,461758.96,3839.56
4fb8049c7d,306991.8,2011.88
c544a227e0,149074.72,2082.68
a46066f9f8,535633.18,2858.24
bfe043389e,559434.5066666666,2722.64
3bd565b61e,472219.88,3819.96
c5e1be1f7d,306921.58,1815.5
faa8c88b65,261981.46,1579.68
a3ac65d1ca,626849.78,3228.97
ce705fc4c7,574824.46,3026.44
1ac15cc6fa,905004.22,5330.38
b54552d300,394779.0,2162.76
e00f04559d,168896.0,1616.44
773eb2f828,613509.34,4270.556666666666
cb901c7b32,207815.94,1311.88
d5313e55e2,2046701.96,6906.74
291b9ec5e3,380857.52,3957.06
8455444608,282033.96,1856.52
926ade7128,565040.71,2551.42
8e46a4196e,374656.74,1907.88
0eb1822417,382745.98,1880.38
60e46bc58b,447537.84,2728.44
1bdeeb0ec4,579890.38,4332.4
4e8d7af890,637089.5,2940.92
cbbb0ff025,247674.38,1406.7
860eb7f67d,1600941.88,6519.74
f8dfd04d88,514786.9,3090.72
1bde382dd1,211812.32,1460.26
b96c08d8b1,482329.34,2941.14
ecf051494f,311485.88,1644.2333333333331
d0df26e835,257999.84,1425.98
a0ba6b45ee,932582.86,4898.12
d702ec434a,707125.96,3307.92
bdb463aa31,540049.84,4631.78
c25ceedd19,1223879.94,8182.09
6e238ffdba,260287.64,1618.335
451c6b060b,217888.26,1326.14
3ba0746828,3931199.76,14336.16
2e38c4dab7,581294.43,2318.8
623871f040,373176.9,1898.52
0a2024537c,959279.72,4959.42
e45da38646,576855.9,2726.58
ce510197cc,1400713.9,7112.86
f08586e82b,165111.78,1117.4573333333333
77bcc040f0,153877.20666666667,1145.745
e93a57cecd,555048.92,4055.13
2425392c5c,328999.98,1799.82
bac1f45cbb,1113212.4797979798,5522.66
784295b487,335779.11666666664,2420.7466666666664
a8772ea1a1,901529.8,4311.9
78a67ef917,1591085.92,8349.92
e34e635c7f,568875.88,3306.12
5f0b4a4b5e,159331.74,1061.13
53d5ff6a62,483713.86,2586.78
3392cf25c6,228620.58,1677.34
84e064e108,154586.58,1273.02
4039d69c01,320490.23333333334,2093.42
44acada236,1497580.0,6745.68
723ad7e454,751519.94,3847.28
82beef8681,1797873.12,10114.12
47fd40b919,229564.42,1291.58
c0ac922dfc,958901.94,4140.8
12260320d3,741411.84,4357.5
ec45577ef5,258049.64,3152.78
8cef4ea5bc,410663.26,4320.53
a5880df625,300036.32,1643.22
6044ce502b,466549.64,2226.43
51e953c72f,240361.5246666667,1798.78
193272c882,169749.96,11381.64
0f91c2363a,1368961.88,8709.02
18a203f9be,446476.94,2667.52
7ddaede67f,398907.58,2936.46
ec4bebccfe,220108.5,1372.73
a54cfba9c3,360410.64,2603.9833333333336
91bdda9c69,242972.12,2153.2066666666665
230057b815,451494.92,2166.3
19410b99bc,290778.6333333333,1617.33
fd6be43598,2279221.18,8154.56
9e01a0f264,812734.9,3911.245
159b4e3bd2,401795.31666666665,2468.96
9fc8625a93,307299.92,1855.6
9e7b5c272d,551706.24,10777.04
d8c780c37d,685348.86,3588.0
8ba291bc1b,861839.62,5070.6
6e2c8a853b,1459009.74,7845.9
cdaea5e849,515458.48,3378.65
63fe80f44d,793052.82,3473.8
9b66a5ac18,230704.5,1499.48
3c8ff6a4dd,240658.03333333335,1689.76
5e4c8a7a22,538369.86,2989.2
27cac6af34,460808.78,3572.0
b5a5b30559,143504.43633333332,1192.5
a2cbbfda38,326163.52,2066.42
f56a988f59,185777.86,837.14
4268ddb08f,257553.9,1302.48
83b75f343c,230145.94,1905.9666666666665
d03e0d76cb,934239.36,7347.68
09e60e272f,889769.76,4093.94
73b95cc30a,220553.44,1467.08
d3df8a6504,482651.9733333334,2605.94
c5581bd15f,439907.96,2734.48
d6d2c63770,2450419.72,14507.62
70969d0f20,698655.84,4925.0
417e7456ac,679131.42,2863.05
6d60acf55c,489758.64,3976.36
4974831849,448321.67,2393.64
6c412515c0,333705.22,1693.96
f55429a924,340968.58,2019.14
93eee281aa,1303427.94,7865.78
c7d24b06e1,1202983.52,4733.78
a890748b1a,643804.0,4646.72
8285c16112,1050514.2,17503.94
c5f2ddf415,171710.0,1091.03
44a23f8577,227849.72,1817.34
be91d3568c,546069.42,3012.88
7ba5d2cb07,355481.96,2564.74
4577ecd5ac,591667.84,6070.5
d25e45c432,2092635.66,10252.86
1146ffc8b2,1550821.9,6580.8
0399c810c9,878107.92,4839.38
58662d13e3,1540825.82,8464.42
78e72208a8,312555.44,6922.72
2ea54f266e,384885.0,2023.42
52db26fdb7,395720.14666666667,2908.4380000000006
5d9c6744fe,1491919.0,5058.64
259b521da3,330834.0,2020.38
f343b005cc,265433.94,1883.51
5b94333831,499113.7,2303.0
c3ad836e12,838459.82,4734.1
cde306dbb9,170196.56,1079.74
661d415ec9,667254.16,4327.84
f10ffeb1ee,364370.82,1799.7
6c621a0180,416158.12,1687.5
3bbf241022,582439.12,2718.08
ee4a63769e,815975.92,3114.02
9c36b65aa4,307674.7,1837.36
3be6143b58,1413003.18,7726.18
b00012981e,743189.84,24549.22
3f909cd810,300033.96,2085.92
d74cddfd00,1687336.76,7752.5
a38487f13d,186392.94,1655.84
92b1735c63,611146.26,2678.38
4bf332ab8e,283081.58,1691.8566666666666
f08ebcd325,514023.88,2800.48
b058cbe32e,572256.52,2425.2
b20651d001,289981.18,1577.04
660e951e1c,543610.3066666668,3053.94
57d6b9a2ee,173986.38,1079.765
de3c689e87,439635.06,2093.86
9009e8ab0c,562238.86,2499.96
93075a5ce2,840582.04,8258.16
1c6a8259fa,1239657.94,7407.54
b8b3e91ae4,444611.9,3689.14
b5b67c7415,365659.0,2137.04
d94cd7029c,1628200.0,7276.2
2d50c45a9a,753901.22,2641.66
81e7f70d61,847027.86,6315.26
b9fb3b2f94,152880.0,1007.54
8feb829afe,344569.32,1750.44
584955744e,860397.92,3197.52
b258a3b62a,804520.5333333334,3407.36
f56dcf0614,5198213.98,20317.04
f775f56a81,210839.68,1419.22
79753ed02f,376184.08,2102.76
685940570a,623068.06,2693.1
df96af49b2,560678.74,2623.24
3beed50129,328019.72,2330.9
0ca6c79035,861840.0,5105.02
2a1db1df43,637363.96,3865.74
b4648b735d,572529.84,2524.78
8858ee10b5,576798.42,2696.74
432ff6eba5,440271.58,2144.56
5c47182d95,220345.66,1420.12
57177e27af,246450.62,1645.42
e766a9a5f6,920625.76,4939.32
3436035675,293817.8,1903.14
2200a5991e,166174.135,1082.76
5357907917,507356.9,3856.9
a21fb7de02,453289.5333333334,2559.38
3402c75638,1591687.96,6904.26
9cab575bff,260669.36933333336,1612.4390000000003
858c73e9de,3121999.8,37952.36
87ee38e352,347896.64,2197.74
ca9052cb8b,202270.52,1280.12
4600b99453,590449.88,2276.1786666666667
f1ee2816d2,644292.42,4511.053333333333
ab934ee057,4164044.62,25683.06
b4a735c555,1442468.22,5502.94
638dfca6b3,1384040.0,6978.1
0717918905,533031.1533333333,3728.74
d4cf6d7e85,1108278.96,5416.32
8ff3be1fd2,371000.0,2605.04
a9a3fa3dfd,1551649.4,5801.28
7f6d7bb839,344917.96,2421.92
30dccf4fba,613998.1,4541.55
d969a07bfe,2529835.88,7696.0
9bbeba4d78,1617223.86,8245.18
0f7e944e65,1924999.0,7095.54
ccedff8b0b,2843498.7,10928.76
13c80eb5d1,440386.44,2424.21
58b22ebbae,762368.26,3220.2
61992924da,292594.4,1737.72
94b584ee70,647485.7,3427.06
cfab2a6a5c,319724.78,1474.76
fef10b3b34,762267.2933333335,2977.58
82755d94bd,795381.92,4091.26
66b1ba456e,201498.22666666665,2031.9
a4ef7feed1,716533.68,4521.08
e1db255117,2262314.44,6875.86
f4e359a1e8,531390.66,3630.46
17af0cd732,1611105.76,7359.92
3f5157b17a,246569.15,1650.9853333333333
464ca4fc75,1924999.0,7394.44
ae266dfad9,909046.32,3698.62
98af16daed,188778.29333333336,1170.0
c1c9337757,173466.78,1467.84
684effb57b,557319.12,2512.82
07fb738af7,586355.0,2968.54
7c32dd33da,521624.5,3583.36
375fc39ef7,261931.52,1548.84
6e4ed0e721,141834.94,1170.8633333333332
dc9bf3ca6e,562127.8,3891.82
a7260a8e02,960011.16,8368.706666666667
48d4fd00bd,189000.0,1330.895
b16b6feb26,476161.48,2809.3
1b5e67eb5b,359503.26,2030.56
8e26885d35,680223.3833333333,2845.62
ecdbc75255,998843.92,9633.8
5034b76707,188752.76,1349.56
6b841ddebe,656067.92,4098.0
95a3a5e030,1800448.16,12645.48
d1fe32fae2,325723.88,1652.44
27d3f1e07e,628893.9,3885.88
feec6ce3fa,2182585.8,12211.82
481792ab1f,404790.38,2973.9
cd890fca34,197281.0,963.9316666666666
ad664e9ac7,317839.1,1652.64
9b091aadee,939791.98,5109.588571428571
d2257739e7,1237768.0,4666.96
0df737e2e3,237660.8,1618.06
8a64abc5c2,1381858.74,5291.92
ba67441dd7,822950.86,4206.42
9781dc5838,403576.36,18035.945
e231885e30,203513.36,1427.46
2f4eb900f1,231253.09,1619.0
cf55b3a4e8,583224.44,3458.2
458c48012e,669683.86,4139.68
98b30fb15e,1062340.48,6425.56
71e86f185d,248302.24,1863.4
96ffb2b63d,645833.86,3093.38
9f32ab2c40,293561.74,1568.3
c4b9064078,204469.96,1797.8
a8cb36e270,642059.805,2492.1
85cfcd0863,755946.22,4281.04
9b99569658,1994562.88,7737.52
4d1c0df39a,138823.29941724942,1189.1166666666666
991e5e6b1d,728041.94,4169.66
f5f37c40ca,707349.86,5053.86
942763d151,366040.64,2230.96
13434d129b,636961.2,4241.2
ab97e25d49,334627.58666666667,1730.56
c179094b4c,155727.18,1169.98
c2c35c53f8,296136.36,1551.3733333333332
ca23cb1647,892135.68,4724.84
edfa8f063c,441062.70000000007,2123.3033333333333
388d7d14e5,207731.88,1758.22
cb2f427834,456847.72,2058.82
639b196c45,1564569.84,7724.92
8fb9182290,591009.78,4176.04
c511898f83,656963.74,3404.16
ab2c66a09f,613208.52,2809.2
7ddf41e569,396353.98,2278.2
1598fdcc06,204192.34,1456.32
19bd2a5001,298163.04,2304.52
80df5060ce,580285.76,3468.98
9b548d3e64,336917.9333333333,1792.04
7ff66f51fc,347045.94,2378.68
b2d5b42bc9,1318589.92,5479.493333333334
c6b9d63d4f,655962.18,2577.58
c424d87a05,282491.58,1644.06
45a8a95f2b,312003.98,1888.7
0e752940c4,519689.32666666666,2663.32
919ffa85d6,343510.98,2280.34
5cd057795f,573565.98,3710.43
2e22719a4f,467787.3933333333,1954.64
5b2ee1f770,278767.78,1591.19
8542447be0,172218.195,51202.79266666667
7a3256d886,146282.38,941.94
c299f80e2d,556265.98,3220.48
5b135a08e2,1269701.84,5709.86
8e5fd61ba0,357013.912,2374.32
927462f9ce,1878381.88,9624.12
3c1c7e15c2,304051.82,1927.56
1c67936e87,782375.92,4811.1
30d624564c,322773.24666666664,5235.206666666667
3e6e373b68,1090319.84,6771.72
a17dca5f46,354359.02,1883.02
ad031252fc,215359.04,1655.82
ed25463260,420587.56,2261.44
3f7e12309a,1055878.08,5721.82
f8fcae5d26,781409.82,4192.32
ac27b51571,354670.04,14333.29
eb34016a7f,438983.76,2324.24
119f22e6cb,747753.98,3005.64
99eeda8096,332788.28,1968.78
d73fbb5972,2659999.88,12066.4
3240b6a5d5,239119.34,1620.8
2931c4ab77,328999.98,1799.82
d4ceba01e6,451627.52,2467.3
88ca81d8d9,210741.84,1337.18
5302b418e3,1821903.82,7676.74
184e1b0d12,331573.44,1908.18
a9435206ff,202145.96,1224.96
d8b98f306f,246424.98,1764.75
b6ab80597b,1265591.4,4757.68
478344d148,219837.98,1296.48
d4261f1b0e,380192.18,2057.24
41e38bcbbc,248822.92,1325.96
48fdb1168a,1129435.9,8888.626666666667
7bae98e610,368279.52,1912.04
babc446b89,252250.87688034185,1579.2573333333335
ab7ecf01a8,363214.6,2040.18
c6c1412272,508703.8,3527.44
213605ea49,789879.92,4286.22
7135afd400,315628.356,5982.88
36a0e4d389,425495.52,3309.56
9bccfac6fc,329727.98,1850.86
7f2550d829,128643.72,1136.96
147ae8ca64,621067.88,3645.08
34c3258b36,569295.82,2407.44
2ad6c6fc2b,242647.48,1109.9780952380952
7b6e393835,1429119.96,8369.58
171972ea0a,447619.2,3399.68
7f8b0b4446,487348.26,3121.66
3b8e3826a0,580702.98,4003.7
4e98480951,328145.92,2247.570151515152
39682ce070,485630.48,3233.78
5487d49ff1,799987.92,4294.74
773cad6638,329977.82,3584.615
26232f1c09,660958.42,2930.7
5f2cb21326,359785.96,2287.68
ba0afcb284,222620.38000000003,1206.46
eb3d832dc4,841444.44,4005.54
90f0fb0b28,519091.98,3272.23
169a7da82e,367443.98,2461.5
74c38c6ad9,116142.16,1685.64
0bd8162953,666639.34,2939.4
74bbb7b64b,1022757.88,6054.66
2a63c6f2ff,541399.96,3053.3959999999997
bedc984239,447151.72,2446.34
846ab69758,344629.04,2311.68
95e1e4ab5d,199849.94,1097.6936666666666
c718fadee7,308741.92,1812.26
c48755e357,361826.40493333334,1771.18
e8d514460c,2437665.88,10266.04
a7ce126932,635019.2,5275.44
82fd96805a,544291.98,2382.23
c259ae3e7c,372735.82,2825.62
5afa22535c,360849.9,2383.54
a5fb9a8c85,308888.84,1989.92
99a60bc9b5,443009.86,2265.74
a95e26b2ab,144584.92,1012.3
6d8faa5374,202546.92,1557.28
c6594d0de4,464542.7133333334,2222.16
cf44fb02ea,366565.1066666667,2645.7
43685aa7b6,118003.42,1205.62
087420b012,187025.96,1681.94
d910023440,343223.86,1965.14
2f2fd86946,366505.98,2069.72
8356222fbf,288093.9,1670.5
d29a9a0317,1233399.92,6813.06
cd7dc01665,2083550.0,9121.82
82801db390,832550.52,3962.8
befa7501df,1114413.88,4546.92
05da395cc6,498493.2533333333,2368.94
6a5a3d2f09,1394501.8066666669,5620.56
a2a7322413,870095.2333333334,6463.02
83e411fa52,569799.64,4642.746666666667
c0b42db18e,452073.96,2724.96
0ecfdbcf20,387057.98,2684.9
bd86e27be9,1363548.04,5057.64
2164bd9c3f,397594.32,2033.84
52578b5d38,950689.56,4736.9
20999d596b,262376.46,2131.9233333333336
0f1dc0fbf3,294391.84,1661.36
69e4b93b98,1150379.8,5469.96
e153e7d8d2,390221.98,3838.143333333333
661dbcacb1,1545410.9,7552.08
fb34905038,297070.68,55109.78
e7f0960d2a,342242.6,2297.14
ca7c6f07d8,310748.64666666667,2379.32
a76a947668,584709.94,3585.4
371c87ac24,287215.16,1877.0
1166340aac,945106.42,4826.96
d82dac3ad3,697759.96,4622.7733333333335
85264af1b3,373157.992,2230.74
88ead88ffe,1391669.84,6811.26
ab81e282db,572170.01,4060.94
9af9e0a09a,1445779.8,8670.46
a0eb97abd1,372161.98,2535.82
ce485d0868,647717.28,4064.34
1c70af495f,467207.74,2541.42
c53f934314,246046.96,1669.98
25f00c76c3,1221051.96,6582.48
75b68f1eef,212704.74,1027.7
3963e2c0c6,2555724.62,14826.56
7bf5040020,337015.03333333327,2170.5
aab22184de,846191.13,6944.85
8c6750d564,768725.8,2848.8
461410bfd5,499281.9,2756.84
9f5874dc43,462292.20666666667,2351.38
10a210763c,3209739.22,12401.46
696aaffb33,501647.62,3629.18
bb857b05d2,703033.3133333332,3650.34
a49ba4e758,250464.414,1800.14
edcd8c9963,651335.88,4328.52
bab0a03e9b,778927.08,3847.78
0b23d3eebc,314891.2,1719.28
c62575ba1d,2595109.86,12542.7
2ee75c63ca,370450.23,3467.836
d8338224d5,343376.24,3268.193333333333
d428772072,513063.98,45521.1
567a27356e,224694.28,2188.26
8e60b01377,1184882.98,8775.4
1a1a30eee4,181431.58,948.6
9a31a4e790,232660.02,1351.05
f3f43324bb,677361.92,3218.9
ac684a309b,2552995.4,9436.7
77458a44f4,419335.84,4373.48
6d0c4048f4,286196.26,1487.293333333333
df2babdf9b,333016.52,2164.3
1fc509639b,920954.72,4528.78
c43dba17d0,1461501.94,7077.94
3a7b3c613e,286289.14,1597.76
c6f0542601,290504.04,2816.04
83225907db,171850.0,1190.59
18dc2d5c2f,318083.64,2581.313333333333
9d82c57753,265355.88,1876.12
efaf1b8c74,504341.42,2348.18
d2e038fac7,1008293.7,4646.78
f13b1e095e,269471.76,1820.74
e0dde6809b,530025.52,2681.24
ba76bc99ce,627115.94,5132.3966666666665
780718150c,255625.87,1800.14
54eb403798,1329503.2,8940.52
1ba87026d7,426672.02,2632.78
773486d327,108212.2,1048.54
245b85e584,369441.78,2586.8866666666668
75a2274bc5,338129.48666666663,2085.22
39b4a66dfd,305875.76,1775.8533333333335
1e69b37a6b,299109.7,1583.74
1daa68f2a6,341334.68666666665,13639.04
871f526840,379469.88,2235.62
e0df2be395,158871.88,1485.42
515e4dffae,516398.36100000003,2652.82
8c12a53550,825397.8,4775.3
5503abcf1a,1217774.14,6291.28
6099a3aa54,494378.18,5852.206666666668
213b5fdbfb,402387.9,2899.02
d72f914c0f,765617.98,3549.82
8c6772adff,231203.38,1800.96
5230ac3f4c,317206.32,1887.32
caffc2af1b,2166079.76,12353.66
82629da3ab,163699.2,1138.46
b34c3ecf5b,1072721.66,5451.7
9baa9eaedc,526281.84,2418.92
af1152a563,348571.58,1916.46
23a3ad40ca,635796.7433333333,4334.806666666666
960508c836,3176739.74,14023.2
14b2ceb257,959288.46,4545.02
936c991f67,488545.38,2264.5
acc8918072,577597.98,3972.24
9d1cdab384,166465.62,1340.78
a7b7a5fcee,278018.82,1667.72
53f0ce2a95,1677759.76,6179.26
55617ecaf2,258976.18666666668,1534.83
e66bcfdc97,305463.2,10496.64
27310a8398,500821.6,2351.84
9b700fa827,422231.94,2290.625
f18bcdc4ab,794206.72,5361.38
55798088a2,325961.92,1707.06
8d0315fd98,1048235.8,5602.9
c4b4554bae,489151.0333333334,2839.94
33ce9b0dc8,678364.36,3630.9
d9a42d1f83,359923.08,2243.52
55ca0c33e8,2340477.86,10322.92
9a5a34605e,592605.78,3297.2
6112b52b8b,236614.741,14179.42
e2b85c9363,399338.0883333334,2107.42
2f2fde4b5f,715749.94,2946.28
70898139a6,2288579.72,7071.24
195ebaa0be,321404.92,2104.72
2fb0492cce,1111389.72,4759.66
312ddaab42,282637.18,2470.58
895a187aba,742000.0,7196.56
af5238ef6d,258618.02,1298.48
2cff2ce448,373708.34666666674,2034.1
33fa79e76d,1295055.84,7092.68
272d9aebe9,255587.68,1652.44
2f8ceadca7,352561.98,2085.62
2464d56aa8,206590.96,1593.28
453b3c61e9,511328.96,4494.8
d7214f393e,717956.24,2998.6
88cf8196b2,361981.68,1979.32
1d178832a0,2306149.82,10304.72
ad89e43908,3026029.9,15880.06
dfda4eab79,276513.89,1515.6
1d826d8ca2,516945.58,11216.875
c633c9daea,325429.9,1794.44
690173a8d5,551621.3,2947.5
22d2500ba9,254925.28,1836.388
52bdced0bc,154594.9,1993.36
0ffdba8abd,238799.82,1371.84
f0030e2a12,200675.9,1603.36
77b9d61adb,352018.0,1989.52
fec33d4460,648154.02,4352.78
8a5017e6cf,276906.38,2451.46
0b2ab1981c,593963.96,3615.48
a444de96eb,298171.68,2327.0
69f0416aad,352011.8353333333,2101.9866666666667
86f4354941,273382.36,9792.28
7bdb5e1f6e,340258.2733333334,2311.92
9f2754178d,346980.9057509157,1712.04
ae8921fdca,590029.88,4174.36
4a89e77184,319409.38,1943.58
bf1f500127,241245.3,1248.64
9a02a85fde,711418.3,4058.4
bf50c1ab4a,1899734.5533333335,7619.98
642199dccd,300677.86,1816.16
6226f3789f,391579.9,3448.06
6d57b89b7f,466870.28,2484.26
8c455be16d,1181655.66,5483.46
e9e8601ee4,172065.13333333336,747.57
6c3dff3150,809857.78,4155.2
07d4f0cfca,758704.8883333333,4598.5
ab62257780,554903.88,3790.62
1feada1dec,331908.24666666664,1834.36
77c2cd631d,1353813.84,7947.76
32bd5edc41,619981.48,3322.42
eb274106bc,197269.98,1382.5457142857142
fd78b67fc0,252545.12,1423.0866666666666
b0383b7be8,245195.32666666663,1510.0
e8de19a1b9,197786.92,1204.7
abef8bb5ba,522224.88,2995.58
31f802910e,1628017.78,5619.84
282bae7aba,308453.32,1643.54
e0ff54d8c7,1671267.46,7907.26
dfd7024f0b,1306199.96,8247.04
eb9d0ad1d5,225853.36,1364.442857142857
233930b4f1,296855.72,1546.6
5af1320a79,721312.0,3284.02
3f92a2ab3b,1546411.9,9356.92
59eaf0cf8a,149077.592,1084.24
5118ee490a,167355.9,1151.95
ef7264f4ca,403433.35033333325,2618.36
e779e18255,237395.88,1320.4
ba7956cd08,448139.94,2618.64
f4e969f726,301987.0,3563.4
d534dd1bd9,275479.58,9614.64
89013261b1,848717.08,4698.42
03c90adb6a,642361.98,15821.82
f0c12f9353,643720.0,4593.98
25fde92eba,1234911.96,7526.32
1f43a75511,2516308.0,6376.42
7ab9b477c8,1424653.5866666667,5631.32
f90224afa9,293813.9,2080.25
c0751fa89e,159576.2,1122.9083333333335
0b33539d12,942591.44,3443.74
0a6d4a7e26,250417.44,1458.8866666666668
a322851d58,1195249.88,4224.033333333334
81aab77e09,934779.32,4071.88
55148f9ff8,271361.56,1789.4
9f3d0aa9eb,1306815.86,7654.58
bf6e9e47eb,924828.36,4827.1
06bef811c1,1011779.9,5258.592
7c99f9915b,194250.3,1219.62
3fac5f3a6a,154210.0,27885.705
a1e0d1b3e2,144824.56,991.76
44e392747b,910405.88,4316.98
40d3be128f,239441.54,1322.02
e742e09929,4018910.4333333336,11604.84
06f472e696,310468.72,1941.38
4726756022,2135685.58,8935.26
5854968171,189000.0,1188.59
22af23b8f6,308508.5266666667,2388.32
3e936b20a8,362006.26,2143.04
cf296da8be,1771041.9,9820.2
80715a2618,587313.9,3109.64
9ffea0db6d,227761.29333333336,1749.18
56c4c584c5,436155.9,2875.346666666667
4e432c61b2,1179498.42,5881.28
feca70a442,209300.0,1601.76
9a65dcd9d6,477227.1,2044.56
56d61536e5,370006.0,2496.6
f4eef47c77,293706.78,1501.72
4d0bcbabc1,3056759.68,10142.78
37aa4945e3,1746686.646666667,9990.82
245ff13abe,225963.46,1875.24
e6baf46f2d,397747.85333333333,2433.16
06db978c24,571518.76,2622.9153333333334
1d0e2baabc,336363.96,2838.82
0ad6d52139,1403849.98,7813.34
5c8fb4f715,190763.98,1409.74
d63649aa0e,519105.96,2670.903333333333
8078cf243a,1191049.84,5769.38
f1f30e615f,533796.0933333334,3777.2
cb21a0fcaf,372389.86,3417.26
e92b71a2ad,222447.22,1619.48
9ad8a739aa,250819.98,1684.4
d1cd560bfb,535499.84,4436.2
9d158a206e,167168.3,969.54
8adbd36719,535848.32,3155.4
6f064b0113,686405.92,4413.18
ae159e2f14,500429.9,3722.98
9ccbc71c08,306479.48,2302.22
388a861b0a,2346360.2,20802.9
2e90f03eb0,4067891.8666666667,13579.2
e2e5b7476c,436533.64666666667,3045.44
0eb5c8de12,915179.96,3250.4
46c7bd9bee,257717.46,1817.26
d1ee6c8088,166976.6,1064.2216666666668
2b46a05351,658377.92,2794.82
30daeda3af,823368.22,3901.4
44a2e216c2,194719.18,1085.1114285714286
d3661296b6,1592617.34,7805.36
96f68390b6,557611.61,2341.3
c5c3e16db9,214983.8,1273.2057142857143
c34660fcc4,241956.54666666663,1480.7
9e3294d8af,282804.01692857145,1787.2
16cf5f7296,174863.76,944.12
9dcdb4d586,797518.22,4536.533333333334
43e4dbec64,120749.1,1171.0183333333332
619492274d,310443.24,2409.18
77cd4054d1,317939.84,1956.16
e0a613d496,267054.54,1243.86
06874bbe35,532009.9720000001,3129.04
e5e735a41e,606745.86,27160.84
904d22cb2f,855948.64,3312.22
f09e645c6f,396661.8,2126.78
dc1c2092bc,288079.18,1597.4733333333331
924a85e821,393244.02,2600.3
cca73c9e28,649375.88,5991.92
6f68ee7d3e,756349.74,3755.1679999999997
c38058fb21,316331.24,3228.74
d064c915e4,257550.68666666665,992.09
77e1e96507,984031.5,4379.08
6dda13b823,228002.12,1736.0
0f1e8cfd77,549659.86,3118.56
1d3a086977,357988.1488888889,1758.24
709b2ec2d4,358133.84,2432.82
9f5db816a7,458359.7,2283.1
21951bb781,191239.76,1022.67
1e5fe801c4,466408.32,2030.24
28530cd12d,658228.575,3176.1
7d8a0f5000,467067.84,2500.072
b5abf3d2ed,243561.66,1540.12
783adb4255,1105241.8,6311.1
